tweet,class
@lajazz7 bitch&#128545;,1
My advice of the day: If your a tranny.....go fuck your self! http://t.co/W5G2zhZkU6,0
"RT @splitsecond84: I got Twitter, Facebook, &amp; Instagram.. The Fuk Yuh Mean ""send u a pic ?.. bitch you better Download my avi",1
"You girls be 13 talking about ""I hate sleeping alone"" .. Well bitch you better buy a damn teddy bear.",1
"@OnlyHipHopFacts ""don't get head from hoes with overbites"" @ScHoolBoyQ",1
"Iv decided to grow my hair, i aint braiding it tho.......straight curls out dis bitch !",1
@FredBrooklyn @DoubleGunsChip That is great. Dumb crybaby pussy.,1
Gov. Rick Scott Kicks Charlie Crist&#8217;s Ass http://t.co/x6kOQsVCUa,1
"""No boats and hoes please thanks"" - Mom",1
@lnsightful @zT_Supreme @uncr4fted @yoPapi_chulo omg no plz stop calling me an idiot... are we in kindergarden you fucking faggot,0
"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",1
"Dress shirt, saggy jeans, backwards Yankee hat now that's lifting swag",2
My bitches get them Christians nigga,1
@JawShoeeAhhh @FabianMleal fuck you bitch lol,1
"&#8220;@CharlieDayQuote: Viet-goddamn-nam, that's what happened! Go get me a beer, bitch!&#8221; @John_Colman",1
Strong jaw ass bitch,1
RT @Carlozxivir: @VocaToaster ching chong,0
"RT @petertrvjillo: Listen here you beautiful bitch, I'm about to fuck you up with some truth.",1
fuck her rite in the pussy,1
I got more private tracks than public on my soundcloud. I needa finish these joints so i can sick em on yall hoes,1
&#8220;@koleworld4: &#128541; http://t.co/61zY8Cc47j&#8221;bitches swear they emojis&#128553;&#128514;,1
RT @lonernigga: School is so pointless. I'm just trying to pass the class and get out this bitch,1
if a bitch would everrrrrrr,1
RT @lamLilDurk: Black girls hoes cause they fuck niggas for money revenge and dumb shit like that,1
"@Misplaced_Momma 
She be what we say in da hood white trash",0
RT @verkannt__: None of my bitches judge me they love me &#128524; don't think they would like me if i was any other way,1
"@Latrobemark niggahs be like im draggn my nutts in 2 degree weather , out tgere Frozed like a bitch",1
RT @corinne_sauer: You notice that im the real them other bitches is wack,1
Another season of retweeting every one of @nikaaaa3 's Yankee tweets! &#128514;&#128514;&#128514;&#128514;,2
""" &amp; you might not get ya bitch back &amp; thats that """,1
I wonder how many Yankee fans are hurt that Derek Jeter is out until after the all star break lmao &#128514;,2
Quan and Dino RT them faggot ass niggas!? Aight man,1
@LoVeZanda so everybody knw I mis-spell shit &#128514;... ion proof read shit!!! let ah bitch call me dumb ima back dey ass up &#128526;,1
@CabHotties who ever said this is so dumb. My moms a cop &amp; ill have her track you down for being a lil bitch. Kay bye(:,1
&#128530;RT @SedSince81: niggers RT @VonshayeB Before any moves are made... my black ass must take a nap!,1
RT @neeshhuh: @Mariah7147 @Vontey_isa_boss it's knives bitch,1
"So I seen this sweater , its flashy. I wanna get it. I gotta get it. It say ""my boyfriend is my bitch, with some puppies"" &#128514;&#128514;&#128514;",1
"Damn, birds stay shitting on my car..",1
RT @oddfuckingtaco: Damn I hate a bitch that like to argue and shit,1
"&#8220;@JuniorMaye8: A lot of them are though. Attitudes be pure trash&#8221;

#TeamWhiteGirls 
#SwirlTheWorld",2
My bitch say I'm in the dog house FUCK YOU MEAN,1
RT @Venus_Lynn: &#8220;@dylxnl: look ghetto but it work http://t.co/chrvW9dPca&#8221;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;,2
RT @5SOS: It's the best thing ever driving past crowds of people at shows and seeing bandannas coloured hair 5sos shirts that you've made o&#8230;,2
@kieffer_jason and why would I care what a bitch ass nigga think and u don't understand how fucking scary u look,1
All the hoes on LoveandHipHop going to prom &#128514;&#128514;&#128514;,1
@Get__Em__Craig I was sleep hoe where you at,1
@MitchTierney @slings_x_arrows I ain't no lady bitch,1
@chloeforsale wigg I love you bitch &#128536;,1
&#8220;@abigayvazquez: @_Nicole214_ @TonyJetsFoo yeah he lowkey loves me he knows he's ma nigga &#128076;&#8221;we don't love these hoes,1
"""Just follow the yellow brick twitter.""",2
This is better than flappy bird.&#128525;&#128525; #FallOutBird http://t.co/CHVzWTvltG,2
"""@socass_: Dude remember this wop video? @00sexilexi00 http://t.co/P3HEuBOQBu"" OMG WHERE DID YOU FIND THAT",2
@xoodimpless omg her nips &#128567;,1
RT @UrsTruly_Jessie: These bitches is actors out here,1
@_BradleyC skate 2 trash :(:( skate 3 had goat DLC,2
The right for an English person to go about his business is more important than any suspicion of some rouge wog cop.,2
"@AdamHarmon @JeffJeffAllen Yeah tht a bitch, we ain't gay Brah. Chill",1
RT @Now_Thats_Fresh: Every Seth McFarlene cartoon is trash yall love low iq comedy,2
@YvngHerbo @PRAYINFORGEMS sup fat bitch,1
Jada Fire has never dropped me for talking to imaginary hoes,1
&#8220;@DukeAlexMoore: Malibus on a come-up but in other news she mean denna hoe and not even light skinedddd http://t.co/SGGOkjTScH&#8221; HAHAHA!!,1
@bbluedreamm @chris_cruz1 @Hunglikerobby_ don't be a bitch then?,1
I swear bitches is looney I like a pic ...&amp; I'm fucking that bitch&#128514;&#128514;&#128514;,1
"""You ol trout mouth ass bitch"" 
DEEEEAAAADD",0
RT @RihannaHasAids: aight game over. dykes had to ruin it http://t.co/o0CAn6gb1p,0
What a dumb bitch,1
You're dismissed bitch. @ConchGunny: @00_jackie no.. i wanna play with you thumper..&#8221;,1
what to do when your ear hurts like a bitch?,1
"RT @jerseywolfgod: I don't want the pussy if it makes me want to pay your bills and not sleep my Sunday mornings away, don't ruin my life.",1
#YouWillNotBeTakenSeriouslyIf you're proud to be white trash #KedollarSignHa,1
Bad bitches is the only thing that i like,1
fat dykes make me want to vomit,0
RT @KiCKS0L0GY: Some bitches be forgetting,1
"RT @_YourHoesStink: &#8220;@PizzaBeforeHoes: I hate a ""I'm my own WCW &#128129;"" ass bitch &#128514;&#8221;",1
I need a heated bra because my nips hurt so bad!,2
My niggah,1
she let me play with her pussy then she lick it off my fingers.,1
"RT @HG_Shit: On my mama yous a hoe! Omm yous a bitch! Omm if you get in a jam, I bet you snitch! Omm &#128514;",1
RT @NotWorldStar: When you drop all your hoes for one person and y'all don't end up together http://t.co/lLViTXweMX,1
RT @AdamSchein: I think it is flat out wrong to blame Brian Cashman for the 2014 Yankees. @SNYtv,2
"RT @dirtyimage: @Tronkitty not just cause of hoes, go to jail cause of fucking up hoes bloody n making them call you head honcho",0
Bags Bags that's that bag money trash bag black and it's filled up with money,2
RT @ForTheMen: These hoes ain't loyal http://t.co/6jTLueUQkG,1
"RT @DreadJackson: broke hoes 3 words, OUT MY FACE",1
I love when girls pass up the guys who want Something real and to treat them right for the guy who just uses em cuz then they bitch about it,1
"seriously, who cares what color somebody is? that makes you a huge faggot in my book.",1
Jihadis keep on prattling about having shot down today what they think is an Apache helicopter. Maybe it was an Mi-35?,2
&#8220;@JoeBudden: The bad bitches are only bad until they start talking anyway.&#8221; He Preaching,1
""" post a picture of that pussy get 200 likes """,1
@mallenokc @royceyoung extra yellow.,2
Come back hoe @kati_dupree843 http://t.co/1UPxvDJJNa,1
RT @SlikHawk: That's who dumb bitch! #GoHawks http://t.co/0iNjjm374v,1
"RT @SarahR_82: I had these cute little pet names for my ex, like ass monkey, douchetard &amp; butterball. I just dont know where that re ...",1
Maybe you should eat makeup so you can be pretty on the inside also bitch.,1
@Abel312_ @Cuauhtli02 bruh I'm under 2 blankets like a bitch right now,1
"@chanelisabeth I'm subtweeting my sister, hoe",1
&#8220;@ResiDinero: @TonyJetsFoo lol haha&#8221; hahahahahahahahahaahah deez nuts bitch,1
RT @Sexualgif: when u go through bae's phone &amp; there's no hoes on there http://t.co/CYEJV5l608,1
All these break ups gon be a crazy hoe free agency this summer #DOYOURGOOGLES,1
RT @6THGRADER: Today seems like as good a day as ever to bang some bitches and go for ice cream.,1
RT @Smokinonkaya_: She said I hurt her feelings now she dating dykes..,1
@rezlife3 little bitch,1
@SeymourBlanco you were supposed to hang w me this week nigger,1
I donated both of my (very expensive) prom dresses to teens who couldn't afford to buy one. Don't be a selfish bitch.,1
' Somebody come look at this niggah right here * Kevin Hart Voice * lol http://t.co/R2mhWqc2jT,1
pull out my bank roll on y'all bitches like whoa,1
"RT @TooSexist: Women complain that chivalry is dead. Yes congratulations bitches, you killed it with feminism http://t.co/Mrc82ZUhOn",1
"RT @joerogan: Dear everyone using ""natural"" deodorant, it's not working, you stinky bitch.",1
Stop trying to be down honky http://t.co/0MALBNDkn9,1
@TylerCarboner hey I'll leave Abbey too! Oh if I get a job on the slope I might move back! Cause id lose out on lots of money buying tickets,2
ha fucking twat. go cry about mommy some more,1
RT @erinfbaaby: &#8220;@2chainzz2pumps: Girl ugly denna hoe &#128532;&#8221; what's this then :/ http://t.co/YbXiFwTugu,1
Thirsty bitches&lt;&lt;&lt;&lt; Not attractive,1
I beg to differ on that lip bittin shit. Dis bitch bit my lip nd tried to suck my blood. Aint shit sexy about that,1
RT @___bria: I hate a bitch that acts like she can't be single. Get your I need a man ass on,1
"Oh your gonna ruining your life just throwing it away smoking weed, but my test scores are higher than yours. . . . Just trash my life",2
Hate dat hoe,1
"NO, you don?t have ?haters?. People just don?t like you. Get over yourself hoe.",1
"Life is a bitch, but every dog has its day",1
RT @BrwnSkinGirly: Soulja boy bitch so Aggravating &#128553;&#128553;&#128553;all that nagging &amp; shit .. I hope Ion sound like her &#128514;&#128514;&#128564;,1
&#8220;@cmencarini: I dont trust girls&#8221; cant trust these hoes,1
"@Liveitupjersey @ccass357 &lt;&lt; Where'd you go big mouth bitch?
Busy Choking on that Cock I told you to find?",1
"If she makes a good sandwhich and she give a good blowy, wife dat hoe up. That way you can eat while she eatting",1
Yankee pinstripes might be the best unis in the MLB but the gray road ones are the worst CC looks like an elephant trapped in a circus tent,2
"@__baabyshaay okaaaaay bitch never do we care , edges still laid. &#128514;",1
RT @SickDrawings: 3D bird &amp; feather drawing http://t.co/tcPRVBGspt,2
@mightyfar they need to stop picking up UFCs trash though and build up there own fighters more.,2
"RT @louiev_: LMAOOOO RT @TAN1AAA: White people lmaoo RT @sexxielexxie: Filth. RT @SoloChills: When she says ""Come get this pussy"" https://t&#8230;",1
&#128557;&#128557;&#128557; RT @EsckmoTrent: I swear Niggas use to step one foot off the bus and bitches would be like NEXTTTT &#128553;&#128514;&#128514; http://t.co/XjKUdt4BUB,1
#klokus this bitch has his nose pierced &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514; https://t.co/1Ia8Nx6zrS,1
#InMiddleSchool i was fat as hell and was a band faggot. Thank god i played sports after 6th grade and didnt stay in band,1
That nig Darion couldn't help but act like the camera was on him... He didn't keep any composure eattin those crawfish hahaha,1
"RT @taymaeGOTEM: Bitches tweets be like...

""I wanna suck some dick &#127814;"" 

then be like...

""&#9995; Chill it's just a song! "" 

bitch what song is&#8230;",1
"RT @papigabs: where's the girl I could pack this bowl with? I know u out there hoe, quit playing",1
@SacTownProdigy lol just like RGIII and go out like a weak bitch and return the next year and win 3 games,1
RT @NICKIMINAJ: U bitches could neva get him to buy all dem snacks. Fuk wit me,1
"If you kill all cops and cracker babies, what next?????? Black states, white states, and Latino states? Isn't that moving backwards?",0
"RT @thecoreyholcomb: Every man can't have a bad bitch. But in this country if you got 100$ cash &amp; r willing to go where poverty roams, you &#8230;",1
"@amck73 And because it sounds like there is NO prenup, he's gonna cash in, not her. He apparently has ghetto credit. 'magine that?!",1
@_tee13 @TorahBlaze @Tommyguns____ @SoftestMuffin let one of them dingy real nigger dogs catch it. Miss Torah dont want that thot shit,1
"""On top of that, she just a pregnant ass sorry hoe. Aint never got no money. Even her water broke."" - @TallTrappin88 #RIPTALLT",1
"@ItsOnlyJess @LukeFriendyy @J_CATS_RULE she's a right twat, I'd tell you, honestly Sky! Honestly &#128520;&#127829;",1
"Mr President &amp; homeland security, please ignore any foreign threats and focus your sole attention on our police force #ACAB #LANDOFTHEFREE",2
Alex Smith such a got damn bitch man,1
"RT @HipHopIsDeaddd: My brother want to put on an asshole persona just to get females.That what happens when you let pussy control you, you&#8230;",1
Ewww bitch #canunot #fuckoff,1
Madea and this old hillbilly are hilarious together.,2
Im a queer.... #mmm,1
"RT @craigslistlove: 'Doctor' is available to examine your pussy, testicles and penis as painlessly as possible.",1
"Just said cunt in front of this old lady, I kinda froze, then she yelled ""YEAH YOU TELL THAT CUNT!""
Is it too late in life to get adopted?",1
RT @bethanylynn__: &#8220;@WhitDAWGem_: There is nothing wrong with Ariana Grande..... Just cause she don't look like hoe.... Y'all gotta a probl&#8230;,1
@J_Nastyy_ @Bum_Farto why would a white man even go to a nigger hell hole of Detroit? An I've worked in A town how. Y'all good niggers!,1
"This bitch is really gonna sit here and tell me I need a parent w me at the doctors even if I'm 18 &#128075;&#128075;&#128075; uh, no",1
RT @MacMiller: Liam Gallagher came to see me perform tonight. He said I was a mental cunt. That's fucking amazing.,1
"Girls be like ""10/23/12 I love you babe &lt;3"" hoe isn't that today?",1
RT @TrillAssKass: wet pussy makes the dick slip out &#128166;&#128540;,1
RT @Lpietrantonio: BPG bitch,1
"&#8220;@BaabyD_: ""cause i look great bitch, fuck you mean?"" &#128557;&#128514;&#128514;&#8221;",1
@Coosie11 bitch my phones gonna die in serious I got hot pockets,1
Charlie horses suck ass #ouch,1
You bitches are crazy,1
RT @khulekile_32220: The karma of fucking over a good girl is the bitch you end up with,1
"I hate the f-ing bus, I hate the f-ing bus, high ho the dairy-0 I hate the f-ing bus!",1
":/ well that sucks that Kobe is out now... he's still filthy, you can hate him all u want but if you dont have respect for him, ur retarded",1
So real it's unreal LOL #Yankees #WorldSeries #27andCounting #MLB #MLBtheShow12 http://t.co/tdMrBsnP,2
I have officially earned my right to bitch about things for the next two years! Yay!,1
RT @KoolAssK: U want a nigga to just spend all his hard earned money on u? hoe go strip that solves that problem lol,1
RT @KingLekan90210: All the hoes know each other &#128514;&#128553;,1
#Yankees Damn you DirectTv blackout the Yankee game. With a freaking WALK OFF! You're killing me satellite douche.,2
Since bitches love callin me by my ex girlfriends names so much ima start callin them the names of niggas they fucked,1
walking down the st and this girl with a guy past me and the girl says I'm bout to turn dyke for her ctfuu classic,1
"Me when folks try to come for me. &#128514; Ok hoe, cool! http://t.co/QduFiVVwHa",1
@TheJustinnn @toddkincannon @realbrother0003 He's a pussy,1
@JimBoberson happy birthday faggot,0
RT @Rajput_Ramesh: Friends a Proud Hindu n ShivSainik brother shri Ramesh Jadhav was murdered by Jihadis plz help trend #RameshJadhav http:&#8230;,2
"RT @_Bayou_Bob_: &#8220;@white_thunduh: Why does nobody believe me when i say im a virgin dewd wtf&#8221;

 No you aint hoe",1
Whoever jumps in on a 1on1 is a bitch.,1
I be waking up on some new shit like fuck that bitch shit,0
Parsons trash,2
I hate txtn this niggah man lol @YR_Killem,1
"If you got to act like you cuffing a bitch to get ass your a lame forreal &#128514; , real niggas let bitches know what it is from jump&#10071;&#65039;",1
@Mdnate interested. Just wanted to see a better pic of the soles,2
@Cotton_Candy9 lmaoooo aye people person so you know lil Rico got hoes hahaha,1
RT @_iHATEMOON: All these bitches &amp; niggaz with they imaginary haters .....,0
#WeAreRepublicNotRegime #POTUS BO violated USA sovereignty w/open border/Jihadis/criminal/diseased/Haitians/S.Americans #ImpeachObama,2
RT @1MarsB: I might be ugly but my hoes ain't trippin,1
"@The_Red_Sea @shetheTRUTHtho say that shit to my face ""Bruh"" you a bitch for gettin in a man u dont know business. Handle yo own shit",0
"""The water isn't yellow, I'm a healthy student""",2
@EricWithAHotDad faggot,1
@KilaurenK u stupid fuk head bitch,1
RT @UrKindOfBrand: Vote or Die bitches,1
"I know shit about everybody , I just don't care enough to speak on it but I suggest you bitches watch it forreal .",1
RT @ochocinco: If your girl didn't camp out overnight to buy you the iPhone 6 your pee pee is trash...,2
@MaddSlander &#128514; welcome back b.. without your daily rants my TL was trash af,2
"&#8220;@ChanelleLeee: you boney little hoe ""@wizkhalifa: Smile for the day. http://t.co/DcXdFtjSjt&#8221;&#8221;

This is funny? :/",1
RT @KattWilliams: me as a good friend: *supports and encourages ur hoe activities*,1
But they only talk on twitter bc pussies in real life,1
@Jaytwofly @G_MUCKA good leave you stupid faggot,0
"RT @Positivital: somewhere between ""i need therapy"" and ""bitch, im fine""",1
"hollywood, if you really want to break my heart make a movie about a handsome retarded man who is good at flash and has a mean girlfriend.",1
"RT @KingTeej_: Thats when you say ""this bitch aint got no job"" #mlrt",1
RT @ThinkLikeRandy: When you've got 5 or 6 hoes every one of them sees her man as god.That's why you don't have sex with them very often. -&#8230;,1
"RT @itscoleharmon_: Guys at parties be screaming ""these hoes ain't loyal"" but they drunk &amp; cheating on they gf with a girl who look like Ra&#8230;",1
Ima side bitch from time to time and I stay in my place,1
Where ya titties lil bitch?,1
lol stupid ass bitch I don't fuck w/ you,1
RT @NerdAtCoolTable: RT @RealSheemBacc: For every bad bitch there is a nigga who treats them like shit &amp; yet they stay..... I wanna ...,0
@FenkellPayroll y'all niccas bout to blow fool!! Lol can't wait for the world to see this Detroit shit nicca!,1
@anggxo get off my twitter fag,1
"Venti iced water

Make it snappy hoe",1
@chesteredits @nacbiller not as bad as a former PsyQo nigger THAT LIKES ANIME,1
@Anellesofia for some spook shit,1
I can't entertain these hoes or these broke niggas,1
@iAM_tRoyal5 lol I would've beat that hoe up,1
Man I swear today's like nation hit tony while he's driving day.... This chink almost smashed into me...,0
"Yeah, he forgot to say ""Dumb"" &#8220;@TwistTwizzy: @snoopDogg made a mistake for calling @IggyAzalea bitch.&#8221;",1
@sajeffress tag me pussy ill fite u,1
@maggie_burdis @nickgoldapp lmao dude you are probably the biggest fag in nebraska &#128514;&#128514;&#128514;&#128514;&#128514;,0
She unfollowed me after I said I cried watching dawn of the apes lmaooooooo,2
RT @jama_jam: I'm not saying I'm for this but .. Studs will fuck trannys but won't let they bitch strap them down you muhfuckas childish lol,1
big bitches be sayin why yo eyes all on my stomach? Bitch why yo stomach all in my eyes,1
&#128588; RT @iDO_me2: this vodka be having all the hoes bent over&#128553;&#128131;,1
@Marco_Spatula stop looking porn fag,1
Fuck that niggah he so weak he cant tell that you a freak,1
Reaaallly wish I had more milk for Oreos. Lol,2
RT @LilFrenchy__: corny sex being having you wanna kill that bitch right then &amp; there &#128514;&#128553;&#128545;,1
"I'm going to dress up as trash for Halloween. Oh wait, I look like that everyday.",2
@izzayy_bitches &amp; 4th my guinea pig will haunt you,1
"RT @warningfragile: everyone always says girls are really bitchy, no. some boys are fucking inconsiderate bitchy cunts it is actually disgu&#8230;",1
"RT @LILBTHEBASEDGOD: That nerdy fat bitch yes sir she fucked "" The BasedGod"" - Lil B",1
RT @__Independentt: Why do these hoes think it's cute to take pictures kissing eachother ? #gaggggg,1
"@politsoutherner @leahmeyer49 
If you don't vote you don't have a right to complain. That being said, I didn't vote for the son of a bitch&#128515;",1
"RT @CauseWereGuys: Life is a bitch and harsh enough. Guys need a girl that will make them feel better and help relieve some of the stress, &#8230;",1
@lkxox_ bitch***,1
"Can't stand that asian dude just now, faggot gives me attitude cause I almost forgot my water, fuck u faggot if I wasn't on stage",0
Why Jon hates birds. http://t.co/VwXlbmJ7fY,2
"Pretty weird that flight attendants are instructed to say &#8220;Welcome to the OC, bitch.&#8221; as you exit the plane.",1
RT @DonApolloSan: You might have a lot of followers bitch but a third wants to just fuck you the second third would hate your personality. &#8230;,1
"""Work"" - @tydollasign Gets me through those rough days hahaha #hoes",1
@_turtle_gang lets fuck hawt bitches at Foam and Glow?&#128527;,1
Life aint nuthin but bitches and money #icecube #nwa,1
And these hoes ain't as good as they look..I need to take my own advice doee cause If that pusxy good then I'm good &#128569;,1
"It's weird but I miss Robertson Screwdrivers :( --&gt; From &#8216;toque&#8217; to &#8216;mickey,&#8217; ten Canadianisms :: http://t.co/LUFaCmlo20 via @nationalpost",2
"&#8220;@Damino96: &#8220;I&#8217;m afraid of commitment&#8221; 
-A hoe&#8221;",1
"@PennyTheGOAT 
This look more like your little baby son of a bitch. http://t.co/GO58cT7ue7",1
@Buckm00se I don't like the sand nigger but it's entertaining like 6 knockdowns,0
"RT @CHlLDHOODRUINER: ""Great.... DaQuan got her pregnant and now I'm gonna have a nigger grandbaby"" http://t.co/9aAyrrKNbt",1
Like these nigguhs pussy there's no other thesis,1
"SIR. PLEASE go text your Mexican bitch, because I'm not Finna deal witcho childish ass &#128514;",0
&#8220;@beautiful_bleus: 7. You still fucn ya ex?&#8221;na that bitch corny,1
@litigiousmind pretty like a bitch,1
RT @elvisknievil: Hover parents are the ones who bitch the most about their children's dependence.,1
RT @_shorrtstop: If you still put your pride in front of your feelings .. Then yes bitch your still childish,1
This world needs a build a bitch workshop,1
Rule number two don't trust nobody especially a bitch with a hookers body,1
@TroyAikman shut yo hoe ass up,1
"""I dont have hoes"" &#128564;",1
Not sure why someone would put my pictures on a escort website I ain't selling pussy,1
deadass wanted the sauce till shit got real then niggas wanna back up ooh iight then smh pussy,1
RT @ccancel14: Miserable bitches talk the most shit &#128514;&#9996;&#65039;,1
RT @GMB_Ace: Boss Niggas Fuk wit Boss bitches Vice versa..,1
"RT @charlie_danger: Beautiful wall color &#128525; ""@_100d: I don't love these bitches and you shouldn't either &#128581; http://t.co/TfoTrkw25v""",1
RT @ajjacobs: Just learned that there was a 1932 Japanese political plot to assassinate Charlie Chaplin. #PleaseOptionThisTweetNow #Back ...,2
Outside my click it ain't another nicca fucc'n wit me!,1
RT @EverybodyHatesX: He's trash RT @Yerrp08: Too early to call Austin Rivers a draft bust ?,2
Why you fuckin wit a niggah if you aint fuckin wit a real niggah,1
"We'll catch them hoes later, stay on ya grind",1
"@JustFemaIe @CheatingAdvice 
Where the fuck were you this summer bitch?",1
"$3 bud Lites and $4 well shots at the bar tn, plus I'm giving away a trip to Las Vegas. So if you're not a cunt come visit me at Bourbon St",1
"@kboydee like some of the ""worst"" lyrics they post are beautiful but just because they don't know what they're talking about, it's ""trash""",2
@ZitlalyL You will and he's gonna get all dem bitches &#128513;,1
If I smoke with ya bitch its over,1
RT @TAXSTONE: If certain niggaz can even get my bitch attention hey can have it,1
"@stephen_taylor @jproskowglobal So they could complain about racial profiling I'm sure, bloody twats",1
@thereal_4 yeah lil nigga I was homecoming king and still been getting bad bitches as u see &#9996;&#65039;,1
This bitch think I want her I'm in love wit da gwap. &#128525;&#128536;&#128176;&#128181; http://t.co/JIMIKjimUn,1
Dekalb police are some hoes...,1
@Hype I'm not delivering to that bitch boy anymore.,1
"RT @TayWest: When hoes call other hoes ""hoes"" http://t.co/39yoPnqqau",1
Lmaoo shut up hoe,1
RT @RealSexAddicts: Wet&#128166; &amp; warm &#9832;&#65039; pussy &#128553;&#128525;,1
"RT @SethMacFarlane: And thus endeth our warm, fuzzy holiday lesson: Never take those you love for granted, for they can be gone in a flash.",2
@JunDishes amen little mama. y does this old southern country bitch like you so much I don't know. but I do!,1
@Kenny__Wright @itsfrankybitch @Amber_Nicole_21 @Kush_Boy420 @yoPapi_chulo you cant call someone a fag if you're snuggling up with guys,1
@kieffer_jason bitch was i talking to u stfu and get off my page oh bitch nigga u bout that life,0
"Talkin brokanese, I took yo bitch and broke her knees",1
"RT @SpaceCatPics: Meow, bitches",1
"RT @janbaloch45: Pakistani Christian Couple burnt alive in Kasur Punjab http://t.co/JRxpbsL05Y
@veritaz @marvisirmed 
@Goshno @AliyaNazki &#8230;",2
Fucking told all of you bitches. http://t.co/DiF6d6EYin,1
@itsjustmexo ur a cunt nd a wish a was a faggot,1
"Once we break up, ion want the pussy nomore... RT @CPrice_504: Y&#8217;all really hate @Xbox huh?",1
Now infuriated Jihadis are putting out murder requests on #Saudi fighter pilots who participated in the bombings in #Syria #ISIS,2
If only my new local mall wasn't so ghetto,1
"Mufuckas been followin me on this bitch, tho.",1
"@iLikeGirlsDaily ""rate my hoe"" @MakeItKNasty",1
Stop lettin them messy hoes mess with your business.,1
I love how hoes be like omg warped tour yayyyyy #gaaaaaaaaaaaay,1
"This ain't no bitch ass boom bap, it's click clack move back.",1
&#8220;@HighClassCapri: @what_evaittakes ohhhhh yes bitch yesss&#8221;u ready T?&#128527;&#128520;,1
Ask tht bitch when she gon let a yung nigga blast tht ass,1
@SoutheastQueen ignore sorry I called you a bitch uncalled for,1
@mjs79 @ChingonAbe well he is at Genos. So he is the ultimate faggot,0
Hey @DreamShakeSBN fans. If anyone is wondering what the yellow tab on the back of the collar for - it's for teams that have won a champion,2
"Hey, people bird watching, you do realize there&#8217;s like, hundreds, literally hundreds of free pictures of boobs on the Internet, right?",1
"Without serge, the bird chirps. The sun burns, the grass grows, the world turns. The moon glows, the river flows. But I die without serge.",2
RT @juiceman829: @herk87 @RealMichaelKay how much does your wife wet pussy want another dick. #BIG HEAD,1
They trynna hoe Geno TD throw,1
My Twitter app is poo trash.,2
Wats up with ppl calling me foriegn bitch now,1
@The1DScoop Im omy to the movie right now and I'm literally gonna slap a bitch if they scream or some shit.,1
"Play me about twice? Aye, im a pyhscopathic cunt. You're dead.",1
When I wanna nut an she wanna nut at the same time I'm Peyton Manning this bitch audible OMHA,1
The Perfect Gift for the Jihadi on Your Shopping List http://t.co/YbcsutdGMw http://t.co/nNwums32b4,2
RT @Guwopp1017: Bullying doesn't exist.....BITCH ASS PEOPLE EXIST! If you don't stand the fuck up for yourself &amp; stop being a pussy!,1
@_theDarius bitch get that job first.,1
@DudeWithAHighKD @jeffreyhaas @JUDDNATION she sucks..bitch cant even pretend dance.,1
@SteveWorks4You @teaparty ...anti American Republicans and teabaggers stop forcing ur religion on the rest of us. Stockman u dont pray.liar,2
"@Liveitupjersey Breeding a Nation of Pussies, now how the hell is a Man, a Man...IF HE's A PUSSY!
I'm concerned, WE have pussies &amp; psycho's!",1
"' Ima kill that pussy straight murder that shit , and Ima eat it , eat it , eat it &#1043291;&#1040788; And lick it till it slaps . Aye &#1041237;&#1041191; .",1
Hunnit hoes in the house &amp; they all fckn Watch dog ass KB ball again. Ion see a bih cause they broke as hell 2 places ain goin Broke or jail,1
"RT @Ruthless_Mando: no bitch, I just don't like you &#128129;",1
What manner of black folk take their kids riding in the ghetto to point out misplaced youth and victimized &amp; cursed brethren and say:,2
RT @Tae_Rhodes: &#8220;@kim92493: &#8220;@Tae_Rhodes: @kim92493 @patpatbush uhhh you've been judged&#8221; it happens. #whitepower...I'll hang you nigger&#8221; wo&#8230;,0
Juniors are still pussies,1
Lmao Lebron's expression says it all RT &#8220;@InkMyHoleBody: This nigga is a fuckin faggot https://t.co/GSGhiZMdmW&#8221;,0
I'll get so much pussy. http://t.co/2plTXgQiqE,1
@JayJuice22 @Ish_MallyMal no song I've heard was good is what I mean by he's trash,2
RT @MsJoseline: If you going to fuck on camera at least be a freak not a boring 45 year ol lady. What they got this hoe under. Granny porn?,1
@dominiloka bitch ain't fall down or nothing. bet she can take more licks than you. No?,1
@intheKCmix Pau pissed me off like Boozer pissed off Bulls fan... 2 soft faggots,1
bitch goin downnnn hillllll,1
It only be y'all worthless bitches that be like that though,1
"RT @Sydhinton922: If your boy breaks up with you and has a new girlfriend a couple days later, then there was something you didn't know abo&#8230;",2
He got a cousin named jason that rock da Gary Payton....now da same triflin' bitches an HIV patient,1
then yall tweet about not trusting hoes like that shit ain't common sense already,1
"He hit me with "" if I tell you who I'm fucking you can't say shit bitch, but her head game on point "" #RNS",1
@JaneyPew nigger you are bigger than I am. Do you even #R4aperSec ?,1
RT @602StrangeAngel: Your Swags off fag sauce,0
"RT @thecoreyholcomb: Twitter family, I promise to put my tour schedule up today as soon as I have this pussy hustlin girl I pay for service&#8230;",1
"Niggas wonder why bitches be on that ""fucc a nigga shit"" cuz these niggas be on that ""she just another bitch"" shit &#128175;",1
@StarLavaFox if the bitch don't like it she can't be my bitch,1
